package_manager,name,version,licenses,homepage,approved
Go,github.com/jackc/pgtype,v1.11.1-0.20220425133820-53266f029fbb,MIT,"",Approved
Go,github.com/jackc/pgx/v4,v4.14.1,MIT,"",Approved
Go,github.com/jbenet/go-context,v0.0.0-20150711004518-d14ea06fba99,MIT,"",Approved
Go,github.com/jmespath/go-jmespath,v0.4.0,Apache 2.0,"",Approved
Go,github.com/joho/godotenv,v1.4.0,MIT,"",Approved
Go,github.com/jonboulle/clockwork,v0.2.2,Apache 2.0,"",Approved
Go,github.com/jordan-wright/email,v4.0.1-0.20210109023952-943e75fe5223,MIT,"",Approved
Go,github.com/josharian/intern,v1.0.0,MIT,"",Approved
Go,github.com/jpillora/backoff,v1.0.0,MIT,"",Approved
Go,github.com/json-iterator/go,v1.1.12,MIT,"",Approved
Go,github.com/karlseguin/typed,v1.1.8,MIT,"",Approved
Go,github.com/kballard/go-shellquote,v0.0.0-20180428030007-95032a82bc51,MIT,"",Approved
Go,github.com/keegancsmith/rpc,v1.3.0,New BSD,"",Approved
Go,github.com/keegancsmith/sqlf,v1.1.1,MIT,"",Approved
Go,github.com/keegancsmith/tmpfriend,v0.0.0-20180423180255-86e88902a513,MIT,"",Approved
Go,github.com/kevinburke/ssh_config,v1.2.0,MIT,"",Approved
Go,github.com/klauspost/compress,v1.15.8,"Apache 2.0,MIT,New BSD","",Approved
Go,github.com/kljensen/snowball,v0.6.0,MIT,"",Approved
Go,github.com/knadh/koanf,v1.4.2,MIT,"",Approved
Go,github.com/kr/pretty,v0.3.0,MIT,"",Approved
Go,github.com/kr/text,v0.2.0,MIT,"",Approved
Go,github.com/layeh/gopher-json,v0.0.0-20201124131017-552bb3c4c3bf,Public domain,"",Approved
Go,github.com/lib/pq,v1.10.4,MIT,"",Approved
Go,github.com/lucasb-eyer/go-colorful,v1.2.0,MIT,"",Approved
Go,github.com/machinebox/graphql,v0.2.2,Apache 2.0,"",Approved
Go,github.com/mailru/easyjson,v0.7.7,MIT,"",Approved
Go,github.com/mattermost/xml-roundtrip-validator,v0.1.0,Apache 2.0,"",Approved
Go,github.com/mattn/go-colorable,v0.1.13,MIT,"",Approved
Go,github.com/mattn/go-isatty,v0.0.16,MIT,"",Approved
Go,github.com/mattn/go-runewidth,v0.0.13,MIT,"",Approved
Go,github.com/mattn/go-sqlite3,v1.14.12,MIT,"",Approved
Go,github.com/matttproud/golang_protobuf_extensions,v1.0.2-0.20181231171920-c182affec369,Apache 2.0,"",Approved
Go,github.com/mcuadros/go-version,v0.0.0-20190830083331-035f6764e8d2,MIT,"",Approved
Go,github.com/microcosm-cc/bluemonday,v1.0.17,New BSD,"",Approved
Go,github.com/mitchellh/colorstring,v0.0.0-20190213212951-d06e56a500db,MIT,"",Approved
Go,github.com/mitchellh/copystructure,v1.2.0,MIT,"",Approved
Go,github.com/mitchellh/go-homedir,v1.1.0,MIT,"",Approved
Go,github.com/mitchellh/hashstructure,v1.1.0,MIT,"",Approved
Go,github.com/mitchellh/mapstructure,v1.5.0,MIT,"",Approved
Go,github.com/mitchellh/reflectwalk,v1.0.2,MIT,"",Approved
Go,github.com/moby/buildkit,v0.9.3,Apache 2.0,"",Approved
Go,github.com/moby/term,v0.0.0-20210619224110-3f7ff695adc6,Apache 2.0,"",Approved
Go,github.com/modern-go/concurrent,v0.0.0-20180306012644-bacd9c7ef1dd,Apache 2.0,"",Approved
Go,github.com/modern-go/reflect2,v1.0.2,Apache 2.0,"",Approved
