package_manager,name,version,licenses,homepage,approved
Yarn,@babel/runtime,7.9.0,MIT,https://babeljs.io/docs/en/next/babel-runtime,Approved
Yarn,@babel/runtime,7.9.2,MIT,https://babeljs.io/docs/en/next/babel-runtime,Approved
Yarn,@babel/runtime-corejs3,7.8.7,MIT,Unknown,Approved
Yarn,@babel/standalone,7.8.6,MIT,https://github.com/babel/babel/tree/master/packages/babel-standalone,Approved
Yarn,@babel/template,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/traverse,7.10.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/types,7.10.2,MIT,https://babeljs.io/,Approved
Yarn,@bcoe/v8-coverage,0.2.3,MIT,https://demurgos.github.io/v8-coverage,Approved
Yarn,@chromaui/localtunnel,1.10.1,MIT,Unknown,Approved
Yarn,@cliqz-oss/firefox-client,0.3.1,UNKNOWN,Unknown,Not approved
Yarn,@cliqz-oss/node-firefox-connect,1.2.1,Apache 2.0,https://github.com/mozilla/node-firefox-connect,Approved
Yarn,@cnakazawa/watch,1.0.3,Apache 2.0,https://github.com/mikeal/watch,Approved
Yarn,@dsherret/to-absolute-glob,2.0.2,MIT,https://github.com/jonschlinkert/to-absolute-glob,Approved
Yarn,@emotion/cache,10.0.29,MIT,Unknown,Approved
Yarn,@emotion/core,10.0.28,MIT,Unknown,Approved
Yarn,@emotion/css,10.0.27,MIT,Unknown,Approved
Yarn,@emotion/hash,0.8.0,MIT,Unknown,Approved
Yarn,@emotion/is-prop-valid,0.8.7,MIT,Unknown,Approved
Yarn,@emotion/memoize,0.7.4,MIT,Unknown,Approved
Yarn,@emotion/serialize,0.11.16,MIT,Unknown,Approved
Yarn,@emotion/sheet,0.9.4,MIT,Unknown,Approved
Yarn,@emotion/styled,10.0.27,MIT,Unknown,Approved
Yarn,@emotion/styled-base,10.0.28,MIT,Unknown,Approved
Yarn,@emotion/stylis,0.8.5,MIT,Unknown,Approved
Yarn,@emotion/unitless,0.7.5,MIT,Unknown,Approved
Yarn,@emotion/utils,0.11.3,MIT,Unknown,Approved
Yarn,@emotion/weak-memoize,0.2.5,MIT,Unknown,Approved
Yarn,@gql2ts/from-query,1.9.0,ISC,https://github.com/avantcredit/gql2ts#readme,Approved
Yarn,@gql2ts/from-schema,1.10.1,ISC,https://github.com/avantcredit/gql2ts#readme,Approved
Yarn,@gql2ts/language-typescript,1.9.0,ISC,https://github.com/avantcredit/gql2ts#readme,Approved
Yarn,@gql2ts/util,1.9.0,ISC,https://github.com/avantcredit/gql2ts#readme,Approved
Yarn,@hot-loader/react-dom,16.13.0,MIT,https://github.com/hot-loader/react-dom#readme,Approved
Yarn,@icons/material,0.2.4,MIT,Unknown,Approved
Yarn,@istanbuljs/load-nyc-config,1.0.0,ISC,https://github.com/istanbuljs/load-nyc-config#readme,Approved
Yarn,@istanbuljs/nyc-config-typescript,1.0.1,ISC,https://istanbul.js.org/,Approved
Yarn,@istanbuljs/schema,0.1.2,MIT,https://github.com/istanbuljs/schema#readme,Approved
Yarn,@jest/console,24.9.0,MIT,Unknown,Approved
Yarn,@jest/console,25.5.0,MIT,Unknown,Approved
Yarn,@jest/core,25.5.4,MIT,https://jestjs.io/,Approved
Yarn,@jest/environment,25.5.0,MIT,Unknown,Approved
Yarn,@jest/fake-timers,24.9.0,MIT,Unknown,Approved
Yarn,@jest/fake-timers,25.5.0,MIT,Unknown,Approved
